《经济论》	色诺芬	最早提出“经济”概念
《新教伦理与资本主义精神》	马克斯·韦伯	马克斯·韦伯影响力最大的一本书
《论道德原理论人类理智》	大卫·休谟	休谟哲学思想的结晶
《经济解释》	张五常	张五常“寻寻觅觅五十年”的精华
《佃农理论》	张五常	经济学史上“最不畅销的名著”
《经济学的思维方式》	保罗·海恩	一部风靡国际的另类经济学教科书
《货币的非国家化》	弗里德利希・哈耶克	提出了一个脑洞大开的经济学议题
《集体行动的逻辑》	曼瑟尔·奥尔森	公共选择理论的奠基之作
《人的行为》	路德维希·冯·米塞斯	市场经济理论的经典之作
《经济学思想史讲义》	汪丁丁	国内难得的经济学思想作品
《21世纪资本论》	托马斯·皮凯蒂	以数据统计揭示不平等
《杨小凯谈经济》	杨小凯	杨小凯先生的绝笔之作
《另一条道路》	赫尔南多·德·索托	论述发展中国家“地下经济”的经典著作
《法律的经济分析》	理查德·A.波斯纳	法律经济学最经典的著作
《聪明的投资者》	本杰明·格雷厄姆	巴菲特称“有史以来最伟大的投资著作”
《货币的教训》	周其仁	对中国货币问题的深刻解读
《伟大的博弈：华尔街帝国的崛起》	约翰·S.戈登	讲述美国资本史的经典作品
《这次不一样：八百年金融危机史》	卡门·M.莱因哈特	金融危机史佳作
《西方世界的兴起：新经济史》	道格拉斯·诺思	新经济史学的代表作之一
《苦难的时代：美国黑奴制经济学》	罗伯特·福格尔	一部争议最大的美国史书
《凯恩斯的革命》	劳伦斯·克莱因	掀起“凯恩斯革命”
《美国货币史》	米尔顿·弗里德曼	一部影响深远的著作
《经济增长理论史：从大卫·休谟至今》	罗斯托	经济增长理论历史的重要著作
《还原真实的美联储》	王建	一本了解美联储的好作品
《英格兰银行》	丹·科纳汉	了解央行运作的必读书
《铁道之旅》	希弗尔布施	19世纪空间与时间的工业化
《美国总统经济学》	迪克逊·威克特	讲述美国如何走出大萧条
《布雷顿森林货币战》	本·斯泰尔	讲述美元如何统治世界
《江村经济》	费孝通	一本描述中国农村经济体系的专著
《贸易打造的世界》	彭慕兰	1400年至今的社会、文化与经济
《摩根财团》	罗恩·彻诺	一部恢弘而壮美的华尔街史诗
《百年中国经济史笔记》	杨小凯	了解中国经济历史的重要作品
《价值起源》	威廉·N.戈兹曼	金融史上一系列金融创新
《棉花帝国》	斯温·贝克特	资本主义全球化的过去与未来
《集装箱如何改变世界》	马克·莱文森	以集装箱视角洞悉全球化
《说谎者的扑克牌》	迈克尔·刘易斯	讲述华尔街的投资游戏
《五角大楼之脑》	雅各布森	讲述美国国防部不为人知的历史
《行动的勇气》	本·伯南克	金融危机及其余波回忆录
《股票作手回忆录》	爱德温·李费佛	金融人士必读经典
《红色资本》	卡尔·沃尔特	揭示中国崛起与脆弱的金融
《断层线》	拉古拉迈·拉詹	讲述全球经济潜在的危机
《看得见的手：美国企业的管理革命》	钱德勒	经济学与公司史双贡献
《逃不开的经济周期》	拉斯·特维德	理解经济周期历史的佳作
《理性乐观派》	马特·里德利	一部人类经济进步史
《大而不倒》	索尔金	描述大企业与监管者的潜规则
《伯罗奔尼撒战争史》	修昔底德	西方古典史学名著
《耶路撒冷三千年》	西蒙·蒙蒂菲奥里	还原一座神圣之城
《枪炮、病菌和钢铁》	德蒙德	探索人类历史命运的佳作
《当下的启蒙》	史蒂芬·平克	关于人类进步的英雄史诗
《论人类不平等的起源和基础》	让·雅克·卢梭	一部政治思想经典
《社会契约论》	让·雅克·卢梭	为民主主权奠定理论基础
《君主论》	尼科洛·马基雅维利	开创了政治学
《利维坦》	托马斯·霍布斯	政治哲学的经世名著
《政府论》	约翰·洛克	宪政民主思想经典
《论法的精神》	孟德斯鸠	法律和政治的里程碑名著
《旧制度与大革命》	托克维尔	革命史更是一部思想史
《政治哲学》	史蒂芬·斯密什	精要而伟大政治哲学
《中国哲学简史》	冯友兰	了解中国哲学的首选读本
《中国历代政治得失》	钱穆	一部简明的“中国政治制度史”
《浪漫主义的根源》	以赛亚·伯林	令人销魂的思想咏叹调
《论自由》	约翰·斯图亚特·穆勒	政治哲学经典
《罗马元老院与人民》	玛丽·比尔德	一部著名的古罗马史
《成吉思汗与今日世界之形成》	杰克·威泽弗德	走进草原窥探世界格局
《万古江河》	许倬云	中国历史延绵不绝的秘密
《教宗与墨索里尼》	科泽	庇护十一世与法西斯崛起秘史
《空王冠》	丹·琼斯	玫瑰战争与都铎王朝的崛起
《无敌舰队》	加勒特·马丁利	普利策奖获奖历史著作
《人类简史》	尤瓦尔·赫拉利	一本风靡全球的简史
《自下而上》	马特·里德利	一部万物进化历史
《民主的细节》	刘瑜——美国当代政治观察随笔	
《公正》	迈克尔·桑德尔	关于正义与道德的佳作
《士与中国文化》	余英时	了解中国士文化的好作品
《禅的行囊》	比尔·波特	一场心灵朝圣之旅
《正见：佛陀的证悟》	宗萨蒋扬钦哲仁波切	阐释佛教佳作
《汉密尔顿传》	罗恩·彻诺	一幅美国成长的全景画面
《一个村庄里的中国》	熊培云	描述中国乡村的百年命运
《乡土中国》	费孝通	描述中国乡土文化及结构
《扫地出门：美国城市的贫穷与暴利》	德斯蒙德	理解住房与贫穷问题的佳作
《神祗、陵墓与学者》	C.W.策拉姆	畅销世界70年考古学经典
《文明的冲突与世界秩序的重建》	塞缪尔·亨廷顿	冷战后政治及文明冲突
《风景与记忆》	西蒙·沙玛	重寻人与自然的精神纽带
《想象的共同体》	本尼迪克特·安德森	民族主义研究经典
《言论的边界》	刘易斯	一部美国宪法第一修正案简史
《批评官员的尺度》	刘易斯	一部自由言论的司法抗争史
《西西弗神话》	阿尔贝·加缪	关于“论荒诞”哲学随笔
《自私的基因》	理查德·道金斯	从生物学窥探人类行为
《批判性思维》	摩尔	全球最受欢迎的思维训练读本
《逻辑的引擎》	马丁·戴维斯	计算机发明背后的天才们
《金字塔原理》	芭芭拉·明托	思考及解决问题的逻辑
《复杂》	沃尔德罗普	诞生于秩序与混沌的边缘
《创新者的窘境》	克里斯坦森	最具影响商业图书之一
《数学之美》	吴军	献给年轻人最好的科普礼物
《浪潮之巅》	吴军	一部波澜壮阔的信息技术史
《文明之光》	吴军	科技史与人文史的完美融合
《大学之路》	吴军	阐释何为大学之精神
《梳毛、八卦及语言的进化》	罗宾·邓巴	一本“大众科学的神作”
《失控》	凯文·凯利	信息时代趋势的经典
《哥德尔、艾舍尔、巴赫》	道格拉斯·理查·郝夫斯台特	一部奇书
《纯粹理性批判》	康德	一部改变西方哲学进程的名著
《不确定世界的理性选择》	雷德•海斯蒂	剖析思维如何做决策
《生命3.0》	泰格马克	阐释人工智能时代的佳作
《技术的本质》	布莱恩•阿瑟	打开“技术黑箱”
《奇点临近》	雷·库兹韦尔	掀起一股奇点思潮
《智能时代》	吴军——科普大数据与人工智能	
《史蒂夫·乔布斯传》	沃尔特·艾萨克森——致敬乔布斯	
《信息规则》	卡尔·夏皮罗	信息经济分析的杰作
《舆论》	沃尔特·李普曼	传播学的奠基之作
《人类的明天》	席里尔•迪翁	一种全新的未来生活
《零边际成本社会》	杰里米·里夫金	有点意思的未来书
《黑客与画家》	格雷厄姆	从黑客角度理解计算机世界
《规模：复杂世界的简单法则》	韦斯特	用规模法则解构复杂世界
《上帝掷骰子吗》	曹天元	最易懂的量子力学著作
《从1到无穷大》	乔治·伽莫夫	影响巨大的科普经典
《所罗门的指环》	劳伦兹	脍炙人口的动物科学读本
《DNA：生命的秘密》	詹姆斯·沃森	关于遗传学的历史故事
《黑猩猩在召唤》	珍·古道尔	重新改写人与动物的定义
《众病之王：癌症传》	穆克吉	饱含人文色彩的社科著作
《基因传》	悉达多·穆克吉	基因发展史的传记
《荒诞医学史》	莉迪亚·康	讲述医学史上的荒谬疗法
《哲学·科学·常识》	陈嘉映	对历史上人类求知路的回顾
《给忙碌者的天体物理学》	尼尔·泰森	写给每个人的宇宙通识课
《伟大创意的诞生》	史蒂文•约翰逊	一部创新自然史
《世界观》	理查德·德威特	人类世界观的迭代史
《极简宇宙史》	加尔法德	一场关于宇宙历史惊奇之旅
《我们如何走到今天》	史蒂文·约翰逊	一本难得的科普巨著
《穿越平行宇宙》	迈克斯·泰格马克	平行宇宙科普权威
《大爆炸简史》	西蒙·辛格	有血有肉的天文学观测史
《女士品茶》	戴维·萨尔斯伯格	统计学与科学变革
《科学管理原理》	弗雷德里克·泰勒	一个管理新时代到来
《经理人员的职能》	切斯特·巴纳德	建立了现代组织理论
《工业管理和一般管理》	亨利·法约尔	一部管理史上划时代著作
《工业文明的社会问题》	埃尔顿·梅奥	最早研究人的行为及关系
《企业的人士方面》	麦格雷戈	这位伟大管理学家唯一著作
《个性与组织》	克里斯·阿基里斯	组织行为学奠基之作
《如何选择领导模式》	罗伯特·坦南鲍姆	领导力领域经典著作
《管理行为》	赫伯特·西蒙	决策管理领域开创性著作
《管理的新模式》	伦西斯·利克特	提出管理以人为中心
《伟大的组织者》	戴尔	开创了比较管理的经验研究先河
《让工作适合管理者》	佛雷德·费德勒	首部系统阐述权变理论
《组织效能评价标准》	西肖尔	提出组织目标及绩效评价标准
《再论如何激励员工》	赫茨伯格	关于激励理论的重要著作
《组织与管理：系统方法与权变方法》	卡斯特	权变理论学派的代表作之一
《经理工作的性质》	亨利·明茨伯格	首次提出管理者的角色
《再论管理理论的丛林》	哈罗德·孔茨	第一次展现管理学派全貌
《经济人的末日》	彼得·德鲁克	德鲁克的成名之作
《工业人的未来》	彼得·德鲁克	源于社会学的管理思想
《公司的概念》	彼得·德鲁克	开创了基于组织的管理学
《管理的实践》	彼得·德鲁克	一套极系统化的管理知识
《卓有成效的管理者》	彼得·德鲁克	如何成为卓有成效管理者
《旁观者》	彼得·德鲁克	一代管理大师的亲笔自传
《管理使命责任实务》	彼得·德鲁克	全球管理者必读经典
《竞争战略》	迈克尔·波特	一部伟大的竞争战略著作
《转危为安》	W.爱德华兹·戴明	掀起了全球质量革命
《总经理》	约翰·P.科特	专门研究总经理职位著作
《彼得原理》	劳伦斯·彼得	研究价值高的层级组织学
《定位》	艾·里斯	有史以来影响最大的影响理论
《营销管理》	菲利普·科特勒	一部营销学领域的圣经
《经验的疆界》	詹姆斯·马奇	组织经验管理的杰出著作
《赢》	杰克·韦尔奇	韦尔奇一生的管理智慧
《认识商业》	尼科尔斯	全美高校使用最广商业教材
《乌合之众：大众心理研究》	古斯塔夫·勒庞	群体心理学奠基之作
《拖延心理学》	简·博克	向与生俱来的行为顽症宣战
《原生家庭》	福沃德	振聋发聩家庭心理疗伤经典
《中国人的德行》	阿瑟·史密斯	开创了中国国民性先河
《社会心理学》	迈尔斯	美700+高校使用心理学教材
《暴力》	兰德尔·柯林斯	一种微观社会学理论
《对伪心理学说不》	基思·斯坦诺维奇	心理学入门经典
《穷查理宝典》	彼得·考夫曼	查理·芒格的智慧箴言录
《金融炼金术》	乔治·索罗斯	一种认识世界思想和方法
《原则》	瑞·达利欧	投资大师生活及工作的原则
《反脆弱》	尼古拉斯·塔勒布	从不确定性中获益
《黑天鹅》	塔勒布	一只情绪不稳定的“家禽”
《灰犀牛》	米歇尔·渥克	一只很难搞的“家畜”
《足球经济学》	西蒙·库珀	是时候换个角度看足球
《环保暴力》	瓦茨拉夫·克劳斯	环保主义之政治博弈
